0 0.498150 0.023779 
1 0.497550 0.042594 
2 0.497150 0.063638 
3 0.497175 0.073566 
4 0.496450 0.080152 
5 0.495225 0.081915 
6 0.495725 0.084787 
7 0.493800 0.085722 
8 0.493625 0.087159 
9 0.492200 0.087753 
10 0.491900 0.088492 
11 0.491800 0.088881 
12 0.492325 0.090701 
13 0.491375 0.090610 
14 0.491175 0.091764 
15 0.490975 0.092134 
16 0.491800 0.093541 
17 0.493125 0.094546 
18 0.492975 0.095504 
19 0.492675 0.095363 
20 0.493100 0.095765 
21 0.493225 0.095998 
22 0.493350 0.096485 
23 0.493525 0.096801 
24 0.493175 0.096635 
25 0.493725 0.095706 
26 0.494800 0.096316 
27 0.493625 0.097894 
28 0.493125 0.098644 
29 0.492925 0.098783 
30 0.493850 0.097170 
