0 0.494679 
1 0.485241 
2 0.468623 
3 0.441150 
4 0.396697 
5 0.333009 
6 0.255285 
7 0.181250 
8 0.122753 
9 0.083597 
10 0.059114 
11 0.045170 
12 0.037487 
13 0.032750 
14 0.029664 
15 0.027814 
16 0.026832 
17 0.026092 
18 0.025565 
19 0.025181 
20 0.024805 
21 0.024847 
22 0.024875 
23 0.024827 
24 0.024917 
25 0.024737 
26 0.024778 
27 0.024915 
28 0.024864 
29 0.024825 
30 0.024983 
31 0.024862 
32 0.024985 
33 0.024768 
34 0.024946 
35 0.024965 
36 0.024809 
37 0.024955 
38 0.024888 
39 0.024959 
40 0.024826 
41 0.024791 
42 0.024947 
43 0.025035 
44 0.024968 
45 0.024732 
46 0.024980 
47 0.024845 
48 0.024736 
49 0.024669 
50 0.024710 
51 0.024984 
52 0.025048 
53 0.024756 
54 0.024830 
55 0.024931 
56 0.024884 
57 0.024756 
58 0.024853 
59 0.024878 
60 0.024845 
61 0.024845 
62 0.024970 
63 0.025005 
64 0.024834 
65 0.024913 
66 0.024881 
67 0.024818 
68 0.024831 
69 0.024881 
70 0.024828 
71 0.024817 
72 0.025030 
73 0.024973 
74 0.024939 
75 0.024901 
76 0.024884 
77 0.024941 
78 0.024883 
79 0.024789 
80 0.024899 
81 0.024803 
82 0.024999 
83 0.024836 
84 0.024931 
85 0.024771 
86 0.025044 
87 0.024917 
88 0.024889 
89 0.024975 
90 0.024919 
91 0.024759 
92 0.024938 
93 0.025011 
94 0.024890 
95 0.024836 
96 0.024884 
97 0.024880 
98 0.024933 
99 0.024909 
100 0.024866 
