0 0.495281 
1 0.488292 
2 0.478368 
3 0.465465 
4 0.448160 
5 0.426493 
6 0.397628 
7 0.363342 
8 0.322496 
9 0.278746 
10 0.234310 
11 0.193979 
12 0.159275 
13 0.131449 
14 0.109583 
15 0.092613 
16 0.079117 
17 0.068381 
18 0.060000 
19 0.053175 
20 0.047744 
21 0.043337 
22 0.039640 
23 0.036629 
24 0.034534 
25 0.032564 
26 0.031272 
27 0.030138 
28 0.029262 
29 0.028594 
30 0.028088 
31 0.027928 
32 0.027480 
33 0.027171 
34 0.027002 
35 0.026712 
36 0.026413 
37 0.026315 
38 0.026215 
39 0.026228 
40 0.026190 
41 0.026148 
42 0.026190 
43 0.026183 
44 0.026229 
45 0.026159 
46 0.026093 
47 0.026007 
48 0.026096 
49 0.026079 
50 0.026019 
51 0.026205 
52 0.026217 
53 0.026250 
54 0.026146 
55 0.026146 
56 0.026202 
57 0.026209 
58 0.026081 
59 0.026168 
60 0.026162 
61 0.026248 
62 0.026042 
63 0.026175 
64 0.026247 
65 0.026096 
66 0.026092 
67 0.026217 
68 0.026226 
69 0.026267 
70 0.026246 
71 0.026115 
72 0.026298 
73 0.026123 
74 0.026173 
75 0.026239 
76 0.026251 
77 0.026136 
78 0.025996 
79 0.026006 
80 0.026135 
81 0.026098 
82 0.026172 
83 0.026152 
84 0.026218 
85 0.026223 
86 0.026134 
87 0.026115 
88 0.026237 
89 0.026060 
90 0.026042 
91 0.025997 
92 0.026159 
93 0.026162 
94 0.026177 
95 0.026042 
96 0.026104 
97 0.026238 
98 0.026078 
99 0.026146 
100 0.026047 
